id	title	lattitude	longitude	description	ranking	photo
1	Olympic Stadium	35.6766643	139.7157182	Opening and Closing Ceremonies, Athletics, Football	1	61
2	Tokyo Metropolitan Gymnasium	35.6793961	139.7097847	Table Tennis	2	62
3	Yoyogi National Stadium	35.6672534	139.6977478	Handball	3	63
4	Nippon Budokan	35.6933175	139.7476963	Judo	4	64
5	Outer Imperial Gardens	35.6739249	139.7529757	Cycling (road)	5	65
6	Tokyo International Forum	35.6766572	139.7621109	Weightlifting	6	66
7	Kokugikan Arena	35.6771808	139.7307617	Boxing	7	67
8	Ariake Arena	35.6346701	139.7395666	Volleyball (indoor)	8	68
9	Olympic Gymnastic Center	NULL	NULL	Gymnastics	9	69
10	Ariake BMX Course	NULL	NULL	Cycling (BMX)	10	70
11	Ariake Tennis Park	35.6362392	139.7866163	Tennis	11	71
12	Odaiba Marine Park	NULL	NULL	Marathon swimming, Triathlon	12	72
13	Shiokaze Park	35.6240155	139.7665912	Beach volleyball	13	73
14	Seaside Park Hockey Stadium	35.602693	139.7290888	Hockey	14	74
15	Sea Forest Cross-Country Course	NULL	NULL	Equestrian (eventing, cross-country)	15	75
16	Sea Forest Waterway	NULL	NULL	Canoe-Kayak (sprint), Rowing	16	76
17	Canoe slalom venue	NULL	NULL	Canoe-Kayak (slalom)	17	77
18	Dream Island Archery Field	NULL	NULL	Archery	18	78
19	Olympic Aquatics Center	NULL	NULL	Aquatics (swimming, diving, synchronised swimming)	19	79
20	Tatsumi International Swimming Centre	35.6464739	139.7617982	Aquatics (waterpolo)	20	80
21	Equestrian Park	NULL	NULL	Equestrian (dressage, jumping, eventing)	21	81
22	Musashino Forest Sport Centre	NULL	NULL	Badminton, Modern Pentathlon (fencing)	22	82
23	Tokyo Stadium	35.6780862	139.7127467	Football, Modern Pentathlon (swimming, riding, running, shooting), Rugby	23	83
24	Saitama Super Arena	35.895081	139.6285432	Basketball	24	84
25	Asaka Shooting Range	35.7396529	139.4323106	Shooting	25	85
26	Kasumigaseki Country Club	35.8975939	139.3972779	Golf	26	86
27	Makuhari Messe	35.6467013	140.0344653	Fencing, Taekwondo, Wrestling	27	87
28	Enoshima Yacht Harbour	35.2989036	139.4818721	Sailing	28	88
29	Izu Velodrome	35.4006197	138.5882584	Cycling (track)	29	89
30	Izu Mountain Bike Course	NULL	NULL	Cycling (mountain bike)	30	90
31	Sapporo Dome	43.2989155	143.7546776	Football	31	91
32	Miyagi Stadium	38.3354508	140.9495998	Football	32	92
33	Saitama Stadium	35.9031344	139.7154084	Football	33	93
34	International Stadium Yokohama\t	35.5099504	139.604205	Football	34	94
35	Olympic Village（OV）	NULL	NULL	NULL	35	95
36	Tokyo International Exhibition Center　（IBC/MPC）	NULL	NULL	NULL	36	96
